"(Intercept)","complaints","privileges","learning","raises","critical","advance"
1,51,30,39,61,92,45
1,64,51,54,63,73,47
1,70,68,69,76,86,48
1,63,45,47,54,84,35
1,78,56,66,71,83,47
1,55,49,44,54,49,34
1,67,42,56,66,68,35
1,75,50,55,70,66,41
1,82,72,67,71,83,31
1,61,45,47,62,80,41
1,53,53,58,58,67,34
1,60,47,39,59,74,41
1,62,57,42,55,63,25
1,83,83,45,59,77,35
1,77,54,72,79,77,46
1,90,50,72,60,54,36
1,85,64,69,79,79,63
1,60,65,75,55,80,60
1,70,46,57,75,85,46
1,58,68,54,64,78,52
1,40,33,34,43,64,33
1,61,52,62,66,80,41
1,66,52,50,63,80,37
1,37,42,58,50,57,49
1,54,42,48,66,75,33
1,77,66,63,88,76,72
1,75,58,74,80,78,49
1,57,44,45,51,83,38
1,85,71,71,77,74,55
1,82,39,59,64,78,39
